City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dom pedrito,-30.9828,-54.6731,7.56,91,5,2.74,BR,1683785699
1,georgetown,5.4112,100.3354,33.96,66,20,4.63,MY,1683785811
2,college,64.8569,-147.8028,13.99,44,75,2.06,US,1683785811
3,barra dos coqueiros,-10.9089,-37.0386,24.01,94,40,2.06,BR,1683785811
4,adamstown,-25.066,-130.1015,22.06,54,100,9.52,PN,1683785811
5,port mathurin,-19.6833,63.4167,25.33,76,81,8.92,MU,1683785812
6,bredasdorp,-34.5322,20.0403,15.3,89,90,8.96,ZA,1683785705
7,bilibino,68.0546,166.4372,3.57,82,100,1.45,RU,1683785812
8,margaret river,-33.95,115.0667,16.22,51,98,2.51,AU,1683785812
9,port-aux-francais,-49.35,70.2167,6.85,89,96,11.99,TF,1683785812
10,punta arenas,-53.15,-70.9167,8.06,81,75,1.03,CL,1683785812
11,lata,40.1629,-8.3327,10.6,88,8,2.4,PT,1683785812
12,iskateley,67.6803,53.1512,-0.22,88,61,5.02,RU,1683785812
13,sao filipe,14.8961,-24.4956,23.07,80,33,4.4,CV,1683785813
14,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,65,75,4.0,RU,1683785813
15,vila franca do campo,37.7167,-25.4333,16.23,87,71,2.72,PT,1683785813
16,albany,42.6001,-73.9662,11.62,69,2,1.34,US,1683785813
17,carnarvon,-24.8667,113.6333,25.04,48,0,6.22,AU,1683785813
18,nuriootpa,-34.4833,139.0,19.1,40,18,4.34,AU,1683785813
19,ancud,-41.8697,-73.8203,12.83,97,97,4.15,CL,1683785813
20,san patricio,28.017,-97.5169,26.97,95,25,5.04,US,1683785814
21,tolanaro,-25.0319,46.9987,24.98,76,89,5.88,MG,1683785814
22,guanica,17.9716,-66.908,25.59,57,9,2.72,PR,1683785814
23,suva,-18.1416,178.4415,26.71,83,75,2.06,FJ,1683785814
24,camocim,-2.9022,-40.8411,24.53,89,15,3.55,BR,1683785596
25,labytnangi,66.6572,66.4183,-5.16,86,100,1.58,RU,1683785814
26,prado,-17.3411,-39.2208,21.62,88,15,0.96,BR,1683785815
27,longyearbyen,78.2186,15.6401,0.91,86,75,2.57,SJ,1683785815
28,iqaluit,63.7506,-68.5145,-9.15,86,0,7.2,CA,1683785815
29,yellowknife,62.456,-114.3525,8.29,53,20,2.06,CA,1683785815
30,buka,40.8108,69.1986,32.25,12,88,1.37,UZ,1683785815
31,whitehorse,60.7161,-135.0538,9.43,46,75,1.54,CA,1683785815
32,hawaiian paradise park,19.5933,-154.9731,22.73,92,100,1.54,US,1683785816
33,edinburgh of the seven seas,-37.0676,-12.3116,15.34,66,100,9.44,SH,1683785816
34,ushuaia,-54.8,-68.3,7.81,76,0,3.6,AR,1683785816
35,klyuchi,52.2667,79.1667,25.49,31,99,9.6,RU,1683785816
36,san antonio de pale,-1.4014,5.6325,27.01,82,100,5.32,GQ,1683785816
37,kyren,51.6828,102.1408,9.6,52,98,0.68,RU,1683785534
38,skuodas,56.2667,21.5333,13.92,59,30,2.76,LT,1683785580
39,papatowai,-46.5619,169.4708,9.79,87,93,6.64,NZ,1683785817
40,st. john's,47.5649,-52.7093,1.1,90,0,6.17,CA,1683785557
41,aitape,-3.1374,142.3475,29.34,72,99,2.48,PG,1683785817
42,puerto natales,-51.7236,-72.4875,7.4,87,81,2.33,CL,1683785817
43,isafjordur,66.0755,-23.124,6.1,90,41,2.03,IS,1683785817
44,tazovsky,67.4667,78.7,-11.07,87,26,5.66,RU,1683785817
45,puerto ayora,-0.7393,-90.3518,24.75,100,45,4.47,EC,1683785817
46,sandnessjoen,66.0217,12.6316,9.12,92,75,4.63,NO,1683785818
47,nemuro,43.3236,145.575,4.8,78,72,6.14,JP,1683785818
48,ceerigaabo,10.6162,47.368,21.91,52,81,2.38,SO,1683785818
49,sonoita,31.85,-112.8333,17.39,34,0,0.95,MX,1683785818
50,waitangi,-43.9535,-176.5597,11.01,88,63,0.89,NZ,1683785819
51,olonkinbyen,70.9221,-8.7187,0.27,98,100,6.39,SJ,1683785819
52,grytviken,-54.2811,-36.5092,-2.0,78,20,5.35,GS,1683785819
53,lospalos,-8.5186,127.0025,25.16,74,95,5.32,TL,1683785819
54,saint-junien,45.8833,0.9,10.32,98,88,1.04,FR,1683785819
55,aykhal,66.0,111.5,-2.4,80,64,7.26,RU,1683785820
56,aljezur,37.3191,-8.8033,12.65,85,18,6.07,PT,1683785820
57,broken hill,-31.95,141.4333,19.16,30,0,1.9,AU,1683785820
58,shancheng,34.7953,116.0817,25.51,29,61,3.4,CN,1683785821
59,tiksi,71.6872,128.8694,-9.76,75,59,12.85,RU,1683785821
60,thompson,55.7435,-97.8558,9.09,93,20,2.57,CA,1683785821
61,mournies,35.4764,24.0092,19.35,82,75,2.06,GR,1683785821
62,hithadhoo,-0.6,73.0833,28.62,77,89,6.56,MV,1683785822
63,tamiahua,21.2667,-97.45,26.21,96,5,4.37,MX,1683785822
64,minas de marcona,-15.2119,-75.1103,14.12,89,50,4.4,PE,1683785822
65,kenora,49.8167,-94.4337,13.21,100,75,5.81,CA,1683785822
66,podporozh'ye,60.9112,34.1706,12.21,44,99,1.96,RU,1683785822
67,alexandria,31.2156,29.9553,20.29,74,100,8.42,EG,1683785823
68,kailua-kona,19.6406,-155.9956,25.98,84,100,3.09,US,1683785823
69,pagar alam,-4.0167,103.2667,29.92,50,9,2.64,ID,1683785823
70,arkhangel'sk,64.5401,40.5433,13.22,60,100,3.31,RU,1683785780
71,nuku'alofa,-21.1333,-175.2,25.19,100,20,1.03,TO,1683785823
72,koh kong,11.6175,102.9806,31.55,63,61,4.13,KH,1683785824
73,vilyuchinsk,52.9306,158.4028,5.15,84,100,4.83,RU,1683785824
74,haderslev,55.2538,9.4898,9.94,100,100,1.03,DK,1683785824
75,lompoc,34.6391,-120.4579,11.44,83,100,4.92,US,1683785543
76,christchurch,-43.5333,172.6333,8.28,66,20,4.12,NZ,1683785538
77,ribeira grande,38.5167,-28.7,15.99,88,20,4.47,PT,1683785825
78,cabo san lucas,22.8909,-109.9124,23.12,56,15,6.02,MX,1683785825
79,selkirk,50.1436,-96.8845,12.84,96,41,0.45,CA,1683785825
80,miramichi,47.0043,-65.4654,4.33,75,85,1.01,CA,1683785825
81,atafu village,-8.5421,-172.5159,29.45,77,82,7.45,TK,1683785826
82,tutoia,-2.7619,-42.2744,26.12,86,18,4.11,BR,1683785826
83,yaren,-0.5472,166.916,29.19,76,61,5.26,NR,1683785826
84,manicore,-5.8092,-61.3003,22.95,99,100,1.07,BR,1683785826
85,olinda,-8.0089,-34.8553,26.85,74,40,1.54,BR,1683785826
86,alice springs,-23.7,133.8833,21.75,23,0,2.06,AU,1683785827
87,lihue,21.9789,-159.3672,23.58,82,100,6.17,US,1683785827
88,saint-philippe,-21.3585,55.7679,27.77,75,76,5.95,RE,1683785827
89,badger,64.8,-147.5333,13.95,42,75,2.06,US,1683785827
90,blythe,33.6103,-114.5964,22.24,33,0,3.83,US,1683785828
91,ristiina,61.5058,27.2464,14.06,36,95,3.25,FI,1683785828
92,ulanhot,46.0833,122.0833,24.5,18,100,8.51,CN,1683785828
93,flying fish cove,-10.4217,105.6791,26.82,94,100,6.17,CX,1683785828
94,tinajo,29.0788,-13.7081,18.49,82,20,7.2,ES,1683785828
95,west island,-12.1568,96.8225,29.99,79,75,4.63,CC,1683785829
96,castillos,-34.1667,-53.8333,12.04,70,90,4.49,UY,1683785829
97,peace river,56.2501,-117.286,14.81,62,20,1.03,CA,1683785677
98,nar'yan-mar,67.6713,53.087,-0.14,88,63,5.04,RU,1683785829
99,jamestown,42.097,-79.2353,9.77,79,0,0.89,US,1683785708
100,anadyr,64.75,177.4833,3.28,70,0,2.0,RU,1683785829
101,talcahuano,-36.7167,-73.1167,8.82,100,95,3.09,CL,1683785830
102,luena,-11.7833,19.9167,14.69,55,1,0.96,AO,1683785830
103,kalinagar,28.6167,80.1,37.97,8,0,2.17,IN,1683785830
104,bandarbeyla,9.4942,50.8122,31.25,59,100,1.9,SO,1683785830
105,chonchi,-42.6128,-73.8092,12.84,99,85,0.91,CL,1683785830
106,natchitoches,31.7668,-93.1335,21.99,100,100,2.57,US,1683785831
107,queenstown,-31.8976,26.8753,14.03,41,32,2.56,ZA,1683785831
108,erdemli,36.605,34.3084,23.97,54,98,2.21,TR,1683785765
109,moses lake,47.1301,-119.2781,15.38,62,0,2.57,US,1683785791
110,ilulissat,69.2167,-51.1,-2.99,80,100,5.66,GL,1683785831
111,caleta de carquin,-11.0925,-77.6267,21.26,88,68,3.16,PE,1683785831
112,zhangjiakou,40.81,114.8794,19.08,41,100,2.98,CN,1683785831
113,sisimiut,66.9395,-53.6735,-3.23,79,76,6.31,GL,1683785832
114,brasileia,-11.0161,-68.7481,20.49,87,100,1.19,BR,1683785832
115,lautoka,-17.6167,177.4667,26.92,69,20,3.09,FJ,1683785832
116,adelaide,-34.9333,138.6,20.8,52,0,6.69,AU,1683785584
117,ust-nera,64.5667,143.2,7.24,56,62,3.5,RU,1683785832
118,haraiya,26.8,82.4667,38.6,8,0,0.81,IN,1683785833
119,estevan,49.1334,-102.9842,11.11,87,0,2.06,CA,1683785833
120,peniche,39.3558,-9.3811,14.2,81,10,12.32,PT,1683785833
121,hamilton,39.1834,-84.5333,16.66,68,0,0.0,US,1683785833
122,nishinoomote,30.7333,131.0,21.31,73,75,2.57,JP,1683785833
123,znamenskoye,57.1281,73.8282,15.51,25,29,2.22,RU,1683785834
124,mhangura,-16.8939,30.1683,18.13,58,45,1.91,ZW,1683785834
125,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1683785834
126,yuzhno-kurilsk,44.0306,145.8556,4.08,79,84,7.21,RU,1683785834
127,cold lake,54.4502,-110.2017,8.97,76,40,0.0,CA,1683785697
128,happy valley-goose bay,53.3168,-60.3315,-1.83,69,20,1.54,CA,1683785835
129,al jawf,29.5,38.75,28.47,14,44,11.48,SA,1683785835
130,bethel,41.3712,-73.414,12.31,81,0,2.06,US,1683785835
131,belle fourche,44.6714,-103.8522,17.96,49,62,2.88,US,1683785835
132,camp pendleton south,33.2284,-117.3793,14.99,85,0,0.0,US,1683785836
133,sao gabriel da cachoeira,-0.1303,-67.0892,21.99,99,100,1.09,BR,1683785836
134,ataq,14.5377,46.8319,26.63,46,74,2.99,YE,1683785836
